Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Indonesia,12-08-2000,28.5,22.1,24.8,1.5,9,25.9,34974.03
Indonesia,13-08-2000,29.5,21.3,25.1,1.1,6.2,22,36321.48
Indonesia,14-08-2000,28.1,21.9,23.6,10.6,6.1,16.6,15611.39
Indonesia,15-08-2000,25.6,21.7,22.9,3.3,4.7,13.3,1845.21
Indonesia,16-08-2000,26.9,21.7,23.7,5.2,5,14,11113.62
Indonesia,17-08-2000,27.3,21.7,23.6,80,5.7,19.4,18348.32
Indonesia,18-08-2000,28.7,22,24.7,1.6,5.4,22.7,26886.93
Indonesia,19-08-2000,29.3,22,25.3,1.1,7.5,23,38947.46
Indonesia,20-08-2000,29.4,22.1,25.4,1.3,9.2,28.1,38162.25
Indonesia,21-08-2000,31.3,21.6,25.9,0.3,8.5,28.1,39600
Indonesia,22-08-2000,30.7,21.5,26.2,0,7.2,19.4,39600
Indonesia,23-08-2000,30.7,22.4,26.2,0,7.1,18.4,37057.75
Indonesia,24-08-2000,31.9,23.2,26.5,6.4,7.2,24.1,38065.19
Indonesia,25-08-2000,30.9,22.3,26.2,2.2,5.8,22.7,38383.09
Indonesia,26-08-2000,32.6,22.9,26.3,11.5,5.1,23.8,39600
Indonesia,27-08-2000,30.2,22.5,25,7.2,7.6,28.4,39157.84
Indonesia,28-08-2000,29,22.7,24.7,6.2,9.2,25.9,24319.98
Indonesia,29-08-2000,30.7,22.8,25.9,5.2,6.1,23.4,35987.16
Indonesia,30-08-2000,30.8,21.8,25.7,5.8,5.4,19.4,39600
Indonesia,31-08-2000,30.8,22,25.3,14.6,5.2,19.1,38022.53
Indonesia,01-09-2000,31.2,22.3,25.4,12.8,6.3,21.2,32977.86
Indonesia,02-09-2000,31.1,22,25.6,2.2,7.8,23.8,32961.38
Indonesia,03-09-2000,31.9,22.7,27,0.6,8.4,25.2,36495.31
Indonesia,04-09-2000,30.6,23.6,25.9,2.1,7.9,23.8,31232.25
Indonesia,05-09-2000,28.3,22.3,24.6,2.9,6.9,24.1,26817.97
Indonesia,06-09-2000,30.5,22.3,25.4,3.6,7.5,25.9,39253.7
Indonesia,07-09-2000,32.3,21.9,26.3,2,5.5,19.4,40124.9
Indonesia,08-09-2000,28.7,22.5,24.7,7.1,8.3,22,31723.18
Indonesia,09-09-2000,30.8,21.6,25.9,0.2,7.8,29.2,39600
Indonesia,10-09-2000,31.1,22.2,26.2,2,7.9,27.4,39766.49
Indonesia,11-09-2000,31.5,22.3,26.6,0.2,6.4,24.8,39672.13
Indonesia,12-09-2000,32.3,23.2,27,1.8,7.8,23,39668.22
Indonesia,13-09-2000,30.4,22.5,25.6,14.7,6.6,21.6,32390.12
Indonesia,14-09-2000,30.1,22.9,25.5,4.7,6.3,22.3,39276.74
Indonesia,15-09-2000,30.1,22.6,25.4,5.2,5.9,22.3,31134.25
Indonesia,16-09-2000,31.1,22.4,25.9,0.8,6.6,26.3,35036.71
Indonesia,17-09-2000,28.5,23.1,24.9,7.5,5.6,24.5,17074.5
Indonesia,18-09-2000,29.5,22.3,25,3.1,7.9,25.6,34701.75
Indonesia,19-09-2000,30.6,22.4,25.4,13.1,5.5,24.1,28800
Indonesia,20-09-2000,29.5,22.8,24.1,22,3.8,13.3,12994.75
Indonesia,21-09-2000,28.6,22.5,24.8,8.3,6.5,20.2,23750.16
Indonesia,22-09-2000,31.2,22.6,25.9,3.6,6.9,24.5,37090.58
Indonesia,23-09-2000,29.6,22.6,25.2,4.1,5.6,28.8,38214.53
Indonesia,24-09-2000,29.8,21.9,25.1,5.6,4.6,22.3,31507.22
Indonesia,25-09-2000,30.2,22,25.3,3.1,8.4,27.4,39561.63
Indonesia,26-09-2000,28.6,22.7,24.8,4.6,5.4,25.9,31513.81
Indonesia,27-09-2000,30.2,22.1,25.2,7.1,4,23,29500.82
Indonesia,28-09-2000,30.6,22.2,25.5,4.9,8.3,22,37425
Indonesia,29-09-2000,29.3,21.6,24.5,3.1,7.6,31.3,31106.61
Indonesia,30-09-2000,30,22.1,25.4,7.1,6.6,25.2,39075.52
Indonesia,01-10-2000,30.5,22.3,25.4,4.6,7,22.7,33460.83
Indonesia,02-10-2000,27.8,22.3,24.2,11.5,6.5,18,11405.28
Indonesia,03-10-2000,29.3,22.3,24.7,6.6,7.3,23.4,32148.48
Indonesia,04-10-2000,27.7,22.2,24,14.4,8.4,26.3,20006.77
Indonesia,05-10-2000,28.2,22.2,24.7,0.4,9.6,21.2,26405.6
Indonesia,06-10-2000,29.5,22.5,25.3,1.4,7.3,24.8,36070.43
Indonesia,07-10-2000,28.4,22.5,25.1,1.9,7,24.5,25139.18
Indonesia,08-10-2000,29.8,22.1,25.2,1.8,8.1,26.3,24930.18
Indonesia,09-10-2000,31.1,23.1,26.4,0.2,10.8,27.7,39374.51
Indonesia,10-10-2000,32.2,21.8,26.9,0,6.5,23,40375.01
Indonesia,11-10-2000,31.5,23.9,27.1,2.5,6.8,21.6,37509.18
Indonesia,12-10-2000,27.9,22.3,24.3,21,5.9,19.1,3261.84
Indonesia,13-10-2000,32.2,23.2,26.7,0,8.6,21.6,31650.13
Indonesia,14-10-2000,33.4,23.5,27.5,10.5,4.6,18.7,41129.48
Indonesia,15-10-2000,31.5,23.2,26.1,21.3,5.9,27.4,34463.79
Indonesia,16-10-2000,31.1,23.2,26.1,9.4,7.9,34.2,34752.64
Indonesia,17-10-2000,29.9,23.2,25.9,4.5,9.7,26.6,30914.09
Indonesia,18-10-2000,30.4,22.6,25.5,4.4,8.7,26.3,33765.32
Indonesia,19-10-2000,30.7,22.7,25.5,12.6,7.3,34.9,35813.61
Indonesia,20-10-2000,30.8,22.7,25.8,0.3,13.6,35.6,35566.85
Indonesia,21-10-2000,31.7,23,26.4,1.8,8.4,29.9,37539.75
Indonesia,22-10-2000,30.4,23.3,25.4,9.2,4.8,31,24096.8
Indonesia,23-10-2000,29.4,23,25.2,6.7,9.5,31.7,27138.36
Indonesia,24-10-2000,27.7,22.5,24.5,6.8,7.9,29.9,10589.46
Indonesia,25-10-2000,28,22.6,24.7,7.8,6.8,27.7,11379.68
Indonesia,26-10-2000,28.7,22.5,24.5,5.7,7.2,34.2,23107.19
Indonesia,27-10-2000,30.7,22.4,25.4,6,10.2,28.8,29504.23
Indonesia,28-10-2000,29,22.5,24.5,9.6,8.8,31.7,23300.62
Indonesia,29-10-2000,30.6,22.3,25.4,6.7,7.2,35.6,36512.88
Indonesia,30-10-2000,29.1,22.4,24.7,9.3,9,34.6,21600
Indonesia,31-10-2000,30.3,22.6,25.4,9.9,6.9,32.4,32817.87
Indonesia,01-11-2000,30.9,22.8,25.7,6.6,4.8,28.8,26877.07
Indonesia,02-11-2000,28.8,23.2,25.1,9.3,6.1,28.1,24355.13
Indonesia,03-11-2000,28.2,22.5,24.4,11.5,5.4,23,10027.5
Indonesia,04-11-2000,28.2,22.9,25.2,2.5,6.5,28.4,22956.03
Indonesia,05-11-2000,31.6,23.2,26.2,9.5,6.2,32,37379.2
Indonesia,06-11-2000,31.5,22.7,25.6,12.8,6.4,28.4,33187.7
Indonesia,07-11-2000,29.1,23.1,24.7,10.1,4.7,21.2,20276
Indonesia,08-11-2000,30.2,22.9,25.3,14.2,6.6,18.7,34993.67
Indonesia,09-11-2000,29.4,22,25.3,5.2,4.8,24.1,36385.44
Indonesia,10-11-2000,30.9,23,24.8,9.7,3.9,22.7,34620.51
Indonesia,11-11-2000,30.5,22.7,25.3,13.3,6.9,19.4,31920.96
Indonesia,12-11-2000,28,22.7,24.7,5.7,5.6,20.5,26289.08
Indonesia,13-11-2000,28.8,22.7,25,5.6,4.7,17.6,35581.11
Indonesia,14-11-2000,28.4,22.9,25,3.9,4.2,16.2,22824.52
Indonesia,15-11-2000,30.2,22.9,25.2,10.2,5.9,20.2,24124.72
Indonesia,16-11-2000,28.9,23.3,25.2,10,4.9,23.8,28539.79
Indonesia,17-11-2000,28.8,22.6,24.7,5.9,4.7,19.8,30578.11
Indonesia,18-11-2000,28.4,22.3,25.1,4.9,3.2,20.2,26590.95
Indonesia,19-11-2000,27.6,22.8,24.7,8.2,4.7,17.6,22028.87
Indonesia,20-11-2000,28.2,22.9,24.6,45.7,5.8,18.7,27132.46
Indonesia,21-11-2000,27.8,22.6,24.4,9,5.9,24.1,19612.12
Indonesia,22-11-2000,30.4,22.2,25.7,5.2,10,22,40734.58
Indonesia,23-11-2000,27.4,22.7,24.1,17.3,8,24.8,21572.77
Indonesia,24-11-2000,29,22.6,24.9,0.6,5.1,17.3,7820.72
Indonesia,25-11-2000,30.4,22.7,25.3,31.3,5.1,28.4,26625.52
Indonesia,26-11-2000,30.8,22.7,26.3,3.2,7.6,37.1,35809.43
Indonesia,27-11-2000,29.4,23.2,25.5,6.5,8.2,37.4,24890.7
Indonesia,28-11-2000,29.1,22.5,24.9,5.7,9.2,30.6,31210.02
Indonesia,29-11-2000,27.9,22.5,24.1,9,12.7,38.2,28552.61
Indonesia,30-11-2000,29,22.5,25.1,0.4,11.5,41.4,38566.95
Indonesia,01-12-2000,30.7,21.9,25.9,1.9,10.5,46.4,41109.19
Indonesia,02-12-2000,28.6,22.5,24.5,12.3,14,48.2,27864.89
Indonesia,03-12-2000,29.8,22.5,25.4,0,15,37.8,28800
Indonesia,04-12-2000,31.3,21.7,26.4,0,12.6,41,40936.41
